g19user_story_1021_AND_user_story_1036@0@g19@1021@As an OlderPerson, I want to #use# #ALFRED# as much as possible with speech interaction.@1036@As an OlderPerson, I want to #use# #ALFRED# to pay for small amounts.@2@2@0@True@False@False@True
g19user_story_1061_AND_user_story_1087@228@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1088@229@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1089@230@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1090@231@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1091@232@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1092@233@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1093@234@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1061_AND_user_story_1095@235@g19@1061@As an OlderPerson, I want to #use# #ALFRED# to turn on/off the lights.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1063@236@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1064@237@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1065@238@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1066@239@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1073@240@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1074@241@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1081@242@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1082@243@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1087@244@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1088@245@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1089@246@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1090@247@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1091@248@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1092@249@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1093@250@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1062_AND_user_story_1095@251@g19@1062@As an OlderPerson, I want to #use# #ALFRED# to control the heating.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1064@252@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1065@253@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1066@254@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1073@255@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1074@256@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1081@257@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1082@258@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1087@259@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1088@260@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1089@261@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1090@262@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1091@263@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1092@264@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1093@265@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1063_AND_user_story_1095@266@g19@1063@As an OlderPerson, I want to #use# #ALFRED# to control the TV and radio.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1065@267@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1066@268@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1073@269@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1074@270@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1081@271@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1082@272@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1087@273@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1088@274@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1089@275@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1090@276@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1091@277@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1092@278@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1093@279@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1064_AND_user_story_1095@280@g19@1064@As an OlderPerson, I want to #use# #ALFRED# to watch movies.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1066@281@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1073@282@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1074@283@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1081@284@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1082@285@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1087@286@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1088@287@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1089@288@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1090@289@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1091@290@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1092@291@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1093@292@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1065_AND_user_story_1095@293@g19@1065@As an OlderPerson, I want to #use# #ALFRED# to hear about the news.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1073@294@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1074@295@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1081@296@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1082@297@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1087@298@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1088@299@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1089@300@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1090@301@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1091@302@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1092@303@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1093@304@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1066_AND_user_story_1095@305@g19@1066@As an OlderPerson, I want to #use# #ALFRED# to contact help in case of an emergency.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1075@306@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1076@307@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1077@308@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1077@As an OlderPerson, I want to #have# #ALFRED# ask spontaneous questions but it would be better to programme it during certain times of the day.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1078@309@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1078@As an OlderPerson, I want to #have# #ALFRED# to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1098@310@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1098@As an OlderPerson, I want to #have# #ALFRED# to enable me to #have# face to face contacts as well, so that I do not just #have# virtual contacts over #ALFRED#.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1107@311@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1107@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's blood pressure.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1108@312@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1108@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's body temperature.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1109@313@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1109@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's heart rate.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1110@314@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1110@As a MedicalCaregiver, I want to #have# #ALFRED# to be able to determine the user's breathing frequency.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1113@315@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1113@As a SocialCaregiver, I want to #have# #ALFRED# to be able to recognize pain and or stress by using skin conduction sensors.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1115@316@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1115@As an OlderPerson, I want to #have# #ALFRED# to give me goals and missions that encourage me to do new activities and exercises and to go out.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1116@317@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1116@As an OlderPerson, I want to #have# #ALFRED# to set limits in the games duration as I get bored easily.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1121@318@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1121@As an OlderPerson, I want to #have# #ALFRED# to remind me to keep a good body posture.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1122@319@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1122@As a MedicalCaregiver, I want to #have# #ALFRED# to remind people to exercise regularly.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1126@320@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1126@As a MedicalCaregiver, I want to #have# #ALFRED# to offer training for specific muscle groups.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1128@321@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1128@As an OlderPerson, I want to #have# #ALFRED# to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me.@2@2@0@False@True@False@True
g19user_story_1068_AND_user_story_1129@322@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1129@As a MedicalCaregiver, I want to #have# #ALFRED# to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs.@1@1@0@True@False@False@True
g19user_story_1068_AND_user_story_1134@323@g19@1068@As an OlderPerson, I want to #have# #ALFRED# contact the nearest caregiver when I ask #ALFRED# for urgent help.@1134@As a MedicalCaregiver, I want to #have# #ALFRED# to propose training that promotes complex thinking.@1@1@0@True@False@False@True
g19user_story_1073_AND_user_story_1074@324@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1081@325@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1082@326@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1087@327@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1088@328@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1089@329@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1090@330@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1091@331@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1092@332@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1093@333@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1073_AND_user_story_1095@334@g19@1073@As an OlderPerson, I want to #use# #ALFRED# to do my grocery shopping.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1081@335@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1081@As an OlderPerson, I want to #use# #ALFRED# to maintain my contact list in my phone.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1082@336@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1082@As an OlderPerson, I want to #use# #ALFRED# to manage my agenda.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1087@337@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1087@As an OlderPerson, I want to #use# #ALFRED# to set up social groups of people with similar diseases.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1088@338@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1088@As an OlderPerson, I want to #use# #ALFRED# to contact people from my own circle.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1089@339@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1089@As an OlderPerson, I want to #use# #ALFRED# to learn about art expositions or a m#use#um.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1090@340@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1090@As an OlderPerson, I want to #use# #ALFRED# to learn about all the social activities that are organized in my neighborhood.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1091@341@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1091@As an OlderPerson, I want to #use# #ALFRED# to get a personalized invitation to a social event, so that it motivates more to go.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1092@342@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1092@As an OlderPerson, I want to #use# #ALFRED# to navigate to an event or concert and help me when I am lost.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1093@343@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1093@As an OlderPerson, I want to #use# #ALFRED# to help me navigate despite my mild cognitive impairments.@2@2@0@False@True@False@True
g19user_story_1074_AND_user_story_1095@344@g19@1074@As an OlderPerson, I want to #use# #ALFRED# to send messages.@1095@As an OlderPerson, I want to #use# #ALFRED# to organize a meeting with a group of friends at a certain place.@2@2@0@False@True@False@True
g19user_story_1075_AND_user_story_1076@345@g19@1075@As an OlderPerson, I want to #have# #ALFRED# to detect falls and send an emergency to a specific contact.@1076@As an OlderPerson, I want to #have# #ALFRED# to suggest healthy recipes.@2@2@0@False@True@False@True
